model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction,numeric_one_fraction
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,3,3,383,291,111453,271,20,0.9312714776632303,0,0.0,0.40873487085987814,0.4821301220522692,0.5507971970247548,0.4492028029752452,0.2057052599194756,103793,0.42140606784657925,0.49378435964362366,0.5785939321534207,0.42140606784657925,7660,0.23704015169007836,0.21606328635174288,0.1741514360313316,0.0005221932114882506
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,4,0,884,988,873392,371,617,0.37550607287449395,626,0.6336032388663968,0.018393158688604888,0.08197544807526955,0.8817724458204335,0.11822755417956657,0.005342443047454015,327964,0.008321035235574635,0.09083939458287336,0.9916789647644254,0.008321035235574635,545428,0.02444949223977867,0.07550639512591419,0.8156860300534626,0.0002878473419039727
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,4,1,884,181,160004,153,28,0.8453038674033149,0,0.0,0.4127287671593647,0.463049276186023,0.4925626859328517,0.5074373140671483,0.1823202639734696,135252,0.42823026646556056,0.4948222967373192,0.5717697335344394,0.42823026646556056,24752,0.32802414595050905,0.1990579154914852,0.059752747252747256,4.040077569489334e-05
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,4,2,884,63,55692,33,30,0.5238095238095238,0,0.0,0.738365086535014,0.3250326597316826,0.11150614091790563,0.8884938590820943,0.07671854474342958,29172,0.7950089126559715,0.4036951095239344,0.20499108734402852,0.7950089126559715,26520,0.6760568778019608,0.18755980101804343,0.008672699849170438,0.06787330316742081
bistochastic_r5_c4_seed42,bistochastic,5,4,20,42,4,3,884,291,257244,271,20,0.9312714776632303,0,0.0,0.062277069406330175,0.22574104220096639,0.896238590598809,0.1037614094011911,0.038135336870890026,239564,0.054682673523567815,0.22735980018438334,0.9453173264764322,0.054682673523567815,17680,0.16518113361776018,0.1721914233961121,0.23122171945701359,5.656108597285068e-05
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,0,0,894,977,873438,372,605,0.38075742067553736,626,0.6407369498464688,0.015179014151587176,0.06752804697419959,0.8913431749019393,0.10865682509806077,0.00372100060736579,332568,0.003638353660003368,0.06020893656798888,0.9963616463399967,0.003638353660003368,540870,0.0222750896935197,0.07072941403458806,0.8267698337863072,0.0002884242054467802
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,0,1,894,102,91188,81,21,0.7941176470588235,0,0.0,0.5323961820290389,0.45207016136978123,0.36751546256086326,0.6324845374391367,0.16563740471512362,72414,0.5433893998398099,0.4981138022395496,0.45661060016019,0.5433893998398099,18774,0.4899937704732076,0.1826296813488954,0.023862788963460103,0.00010653030787258975
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,0,2,894,180,160920,133,47,0.7388888888888889,0,0.0,0.28508512205111236,0.4149416567720613,0.5471973651503853,0.4528026348496147,0.1562225950086282,118902,0.32086928731224035,0.4668106551611427,0.6791307126877597,0.32086928731224035,42018,0.1838235480143034,0.16993253973097558,0.17385406254462374,2.379932409919558e-05
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,0,3,894,44,39336,23,21,0.5227272727272727,0,0.0,0.7747046829816961,0.30775026205682826,0.09985763677038845,0.9001423632296115,0.07112334310022113,20562,0.8163602762377201,0.3871901026870308,0.18363972376227994,0.8163602762377201,18774,0.7290818903679556,0.17396746413538589,0.008096303398316821,0.09688931501012038
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,0,4,894,220,196680,219,1,0.9954545454545455,0,0.0,0.01232753774685784,0.10990704578400089,0.9875483018100468,0.012451698189953224,0.00969352591398888,195786,0.011880318306722646,0.1083474796368314,0.9881196816932774,0.011880318306722646,894,0.11026859513646532,0.27746539554517013,0.8624161073825504,0.0011185682326621924
