method,n_row_clusters,n_column_clusters,n_blocks,block_r2_mean,block_r2_std,weighted_h_score_mean,weighted_h_score_std,within_block_sse_mean,within_block_sse_std,block_mean_range_mean,block_mean_range_std,block_zero_fraction_range_mean,block_zero_fraction_range_std,feature_type_nmi_mean,feature_type_nmi_std,sparse_flag_nmi_mean,sparse_flag_nmi_std,feature_zero_fraction_eta2_mean,feature_zero_fraction_eta2_std,smallest_row_cluster_fraction_mean,smallest_row_cluster_fraction_std,largest_row_cluster_fraction_mean,largest_row_cluster_fraction_std,row_cluster_entropy_mean,row_cluster_entropy_std,smallest_column_cluster_fraction_mean,smallest_column_cluster_fraction_std,largest_column_cluster_fraction_mean,largest_column_cluster_fraction_std,column_cluster_entropy_mean,column_cluster_entropy_std,row_labels_pairwise_ari,column_labels_pairwise_ari
bistochastic,5,4,20,0.3591636495619511,,0.041036195465227736,,282029.72021325736,,0.7317183030534545,,0.849745951777486,,0.15837776769768983,,0.30259233130442187,,0.3816558691776181,,0.10210610503865636,,0.27486003732338044,,0.9713950912049221,,0.04136572554169402,,0.6487196323046619,,0.708271882667636,,,
bistochastic,4,4,16,0.3563245353136525,,0.04071847949123435,,283279.20394893154,,0.7172618508327547,,0.8319757018218327,,0.15837776769768983,,0.30259233130442187,,0.3816558691776181,,0.10210610503865636,,0.37803252466009063,,0.9202935060106849,,0.04136572554169402,,0.6487196323046619,,0.708271882667636,,,
bistochastic,3,4,12,0.35430375611142584,,0.040904225332048794,,284168.5414414554,,0.7172618508327547,,0.8319757018218327,,0.15837776769768983,,0.30259233130442187,,0.3816558691776181,,0.28152492668621704,,0.37803252466009063,,0.9934469035701733,,0.04136572554169402,,0.6487196323046619,,0.708271882667636,,,
bistochastic,2,5,10,0.3542400737012712,,0.04315046089543968,,284196.56783587916,,0.7074877756937841,,0.8302470360942121,,0.15027531133365435,,0.2914233133114416,,0.4298207166365455,,0.28152492668621704,,0.718475073313783,,0.8575203186873372,,0.02954694681549573,,0.6401838476690742,,0.6865464484235566,,,
bistochastic,2,4,8,0.34178168668902975,,0.043548130149150606,,289679.45812599635,,0.6685510500160885,,0.7782984828143416,,0.16725705663099782,,0.29773861127367995,,0.38934585972041597,,0.28152492668621704,,0.718475073313783,,0.8575203186873372,,0.04136572554169402,,0.6533158240315168,,0.7055563275754347,,,
bistochastic,6,3,18,0.327883684762988,,0.03993405457143012,,295795.91764338413,,0.6338437329658799,,0.707412092125999,,0.1339659377389402,,0.309783139572117,,0.3402645387906647,,0.10077312716608905,,0.21967475339909356,,0.9852559110280011,,0.08338804990151018,,0.6677609980302035,,0.7490744685393969,,,
bistochastic,5,3,15,0.3263525879764334,,0.04110223059308758,,296469.7477062953,,0.6244754362176751,,0.7012601831062447,,0.13041746804408638,,0.3049353362465373,,0.3469836114796903,,0.10210610503865636,,0.27486003732338044,,0.9713950912049221,,0.08010505581089954,,0.6730137885751806,,0.7410022150161044,,,
bistochastic,4,3,12,0.32385757169245644,,0.04081102297995041,,297567.7951937959,,0.6042304449970451,,0.6723184628774201,,0.13041746804408638,,0.3049353362465373,,0.3469836114796903,,0.10210610503865636,,0.37803252466009063,,0.9202935060106849,,0.08010505581089954,,0.6730137885751806,,0.7410022150161044,,,
bistochastic,3,3,9,0.32207484072700265,,0.04101510740226153,,298352.3685330872,,0.6042304449970451,,0.6723184628774201,,0.13041746804408638,,0.3049353362465373,,0.3469836114796903,,0.28152492668621704,,0.37803252466009063,,0.9934469035701733,,0.08010505581089954,,0.6730137885751806,,0.7410022150161044,,,
bistochastic,2,3,6,0.31154517207228605,,0.04376654779575646,,302986.43696974515,,0.5438761462041956,,0.5881520235891384,,0.1339659377389402,,0.309783139572117,,0.3402645387906647,,0.28152492668621704,,0.718475073313783,,0.8575203186873372,,0.08338804990151018,,0.6677609980302035,,0.7490744685393969,,,
bistochastic,6,2,12,0.26589624152080216,,0.04013105965590887,,323076.3633646337,,0.552999850919902,,0.6091382768825164,,0.02484975928904042,,0.14262536427192088,,0.2945764883552784,,0.10157291388962943,,0.2210077312716609,,0.985418308955195,,0.13066316480630336,,0.8693368351936966,,0.5592541161124122,,,
bistochastic,5,2,10,0.2649468302160616,,0.041295637797908756,,323494.195786999,,0.5318961825593004,,0.5859698897452081,,0.02484975928904042,,0.14262536427192088,,0.2945764883552784,,0.10157291388962943,,0.2764596107704612,,0.9706827830179721,,0.13066316480630336,,0.8693368351936966,,0.5592541161124122,,,
bistochastic,4,2,8,0.2623358656046969,,0.041022920952660524,,324643.27170681313,,0.52160463658897,,0.566510865334823,,0.02484975928904042,,0.14262536427192088,,0.2945764883552784,,0.10157291388962943,,0.37803252466009063,,0.920075117028649,,0.13066316480630336,,0.8693368351936966,,0.5592541161124122,,,
bistochastic,3,2,6,0.2616798699549716,,0.04131333820896268,,324931.97297887213,,0.5058585950113702,,0.5514472834289272,,0.02484975928904042,,0.14262536427192088,,0.2945764883552784,,0.28152492668621704,,0.37803252466009063,,0.9934469035701733,,0.13066316480630336,,0.8693368351936966,,0.5592541161124122,,,
bistochastic,2,2,4,0.2508158114424437,,0.04407141869407773,,329713.20516174426,,0.46877732238198655,,0.500930814080548,,0.02484975928904042,,0.14262536427192088,,0.2945764883552784,,0.28152492668621704,,0.718475073313783,,0.8575203186873372,,0.13066316480630336,,0.8693368351936966,,0.5592541161124122,,,
