k,pairwise_ari
3,0.9321326474132363
3,0.9142715843833099
3,0.5493470301366367
3,0.9352727634834873
3,0.9377394147577615
3,0.5391880352150151
3,0.942696569360356
3,0.9066792313503479
3,0.961419003236653
3,0.92295597761499
3,0.9516578313267304
3,0.9381200181734668
3,0.9072705469647722
3,0.9485158728292439
3,0.979079832783722
3,0.5172782320012275
3,0.9844807854075799
3,0.9805220425567082
3,0.507737698594274
3,0.980655658421144
3,0.9696433905318206
3,0.9665201510945176
3,0.9806997732498449
3,0.964902727039078
3,0.9903607743937383
3,0.9705593791850698
3,0.9526736268863235
3,0.508628275108624
3,0.9740985307390492
3,0.9685346888238648
3,0.4992673021846323
3,0.9670551865416561
3,0.9838888238021053
3,0.951259423781203
3,0.9848448106838062
3,0.9512414292421139
3,0.972178568252897
3,0.9815029807537885
3,0.9375947420476649
3,0.5176599538663741
3,0.5186611671871094
3,0.971175582307205
3,0.5206781466842162
3,0.5011545854259166
3,0.5309655344390807
3,0.5128807614661909
3,0.5298213144807176
3,0.5199175458447405
3,0.5009004016361152
3,0.5334130454471029
3,0.9893487805584166
3,0.5080947647293561
3,0.9861757684827213
3,0.96910066542729
3,0.9713992474441219
3,0.9787298092973706
3,0.9674673192765243
3,0.9874357582866459
3,0.9707274340998758
3,0.9552227834404643
3,0.50905228469329
3,0.9871879855543326
3,0.9647388235865041
3,0.9740126320863701
3,0.9715082502540371
3,0.9700775745053462
3,0.9851266125673137
3,0.9663610502923909
3,0.9594072503130398
3,0.5110403127410442
3,0.4918423086092294
3,0.52116148531675
3,0.5034384853480185
3,0.520060530731237
3,0.5103119357088142
3,0.49157958362154874
3,0.5227080626939389
3,0.9613627910664734
3,0.9774464722203927
3,0.9667523625523572
3,0.9735020247873776
3,0.9786506298244688
3,0.9629789651789192
3,0.9611788667625201
3,0.9420832722400447
3,0.9721301522385026
3,0.9421104301222119
3,0.9627232817437366
3,0.9913992420655504
3,0.9284715876391009
3,0.960229051172469
3,0.9883324563275503
3,0.9726943850471971
3,0.9427318402097945
3,0.9758669715593387
3,0.9602205728390222
3,0.9803362276984932
3,0.9714052007187853
3,0.9448673149018966
3,0.967800702769909
3,0.9404875158173783
3,0.97983628308169
3,0.9652724818987302
3,0.9587766167676087
3,0.9284496327205529
4,0.9608513913402249
4,0.9479718790867668
4,0.9838179957881693
4,0.9731613911466744
4,0.9886598333165381
4,0.9795907190016296
4,0.42192358193436547
4,0.986992242561157
4,0.9661597771470934
4,0.990929755857318
4,0.929940584827149
4,0.9682470893151285
4,0.9639432030690197
4,0.9493905143279348
4,0.9909895717252459
4,0.9651717092954464
4,0.990609982230933
4,0.9817533248156871
