repeat,split_seed,kmeans_seed,k,n_train,n_validation,n_components,retained_variance,validation_silhouette,validation_calinski_harabasz,validation_davies_bouldin,train_inertia,minimum_cluster_fraction,maximum_cluster_fraction,empty_clusters_in_validation
2,233227757,1052405943,3,3001,750,91,0.9004208658047196,0.10314696405155356,67.46345182788342,2.685210977328218,11592.579199023196,0.19808051186350306,0.5606504932018128,0
2,233227757,1180487083,4,3001,750,91,0.9004208658047196,0.0903188279096065,61.34755850619819,2.598640097061395,10968.897835337299,0.035990402559317514,0.39029592108770994,0
2,233227757,1083672474,5,3001,750,91,0.9004208658047196,0.08548256235710479,58.121572390118544,2.440374457419271,10546.309238987325,0.02932551319648094,0.34124233537723275,0
2,233227757,1228715152,6,3001,750,91,0.9004208658047196,0.08913517996824093,52.368816124565186,2.3955606651207253,10153.763623410316,0.006131698213809651,0.2977872567315383,0
2,233227757,1958725947,7,3001,750,91,0.9004208658047196,0.09554373221888265,50.226472637484264,2.2948479180336117,9838.34550297565,0.006131698213809651,0.26312983204478807,0
2,233227757,1277578866,8,3001,750,91,0.9004208658047196,0.08513556586655392,46.99533941650503,2.292551044279159,9584.686932825009,0.006131698213809651,0.2303385763796321,0
2,233227757,1124548076,9,3001,750,91,0.9004208658047196,0.08695148225401834,43.7572876624766,2.2497336533172483,9383.97976005347,0.005865102639296188,0.24073580378565715,0
2,233227757,580523409,10,3001,750,91,0.9004208658047196,0.07648370390821312,42.72982364202728,2.37083899015606,9190.225969770916,0.0005331911490269261,0.21700879765395895,1
3,3276785861,193286740,2,3001,750,92,0.9009490345611333,0.1175274120604919,72.61580632719436,2.6495449856961875,12579.931301704793,0.2649960010663823,0.7350039989336177,0
3,3276785861,1731191394,3,3001,750,92,0.9009490345611333,0.10940190049988957,67.55424725974021,2.6665587186216304,11706.275230479288,0.1956811516928819,0.5611836843508398,0
3,3276785861,757608805,4,3001,750,92,0.9009490345611333,0.09485231096177738,60.12327463844968,2.427880432797307,11039.728377552128,0.023727006131698213,0.3990935750466542,0
3,3276785861,1635925452,5,3001,750,92,0.9009490345611333,0.07946501163517408,56.79266320198701,2.372025246438247,10609.865191208693,0.023193814982671288,0.3487070114636097,0
3,3276785861,706071226,6,3001,750,92,0.9009490345611333,0.08327763379821507,50.603381418842794,2.237555464339611,10212.830264695036,0.00693148493735004,0.30391895494534793,0
3,3276785861,1658651295,7,3001,750,92,0.9009490345611333,0.08728709801572418,48.71397710918395,2.172752053048038,9896.69050837459,0.009064249533457745,0.26472940549186885,0
3,3276785861,2035902698,8,3001,750,92,0.9009490345611333,0.08066151836035101,45.9137859492398,2.1904912580144047,9646.248888315788,0.006131698213809651,0.23113836310317248,0
3,3276785861,375814682,9,3001,750,92,0.9009490345611333,0.08274789483025977,45.819608834383494,2.154775083982898,9406.757745808605,0.0005331911490269261,0.23860303918954945,1
3,3276785861,1783510955,10,3001,750,92,0.9009490345611333,0.07909269144276805,44.58044885860292,2.443953708437829,9226.155161977173,0.0005331911490269261,0.20341242335377233,2
4,3644269654,888128975,2,3001,750,92,0.9009534222091289,0.10716428894117162,73.56358544295824,2.6469371452676382,12323.355210270816,0.2655291922154092,0.7344708077845907,0
4,3644269654,425608266,3,3001,750,92,0.9009534222091289,0.09485335543414507,70.34804050600123,2.66262680024577,11485.891755737957,0.22127432684617435,0.5366568914956011,0
4,3644269654,539433228,4,3001,750,92,0.9009534222091289,0.09432011653257125,66.36020555872616,2.5702831427361637,10891.703530362298,0.03519061583577713,0.38443081844841376,0
4,3644269654,1371842596,5,3001,750,92,0.9009534222091289,0.07997982365808333,59.70442803705665,2.466780200372015,10450.161002400017,0.03119168221807518,0.34124233537723275,0
4,3644269654,1489795284,6,3001,750,92,0.9009534222091289,0.0849050205537348,55.417361872505325,2.53713352454637,10106.896352638156,0.020527859237536656,0.23780325246600906,0
4,3644269654,772234073,7,3001,750,92,0.9009534222091289,0.09364614230051924,53.95058352006549,2.2854357674586447,9800.756360573265,0.007464676086376966,0.2713942948547054,0
4,3644269654,851064014,8,3001,750,92,0.9009534222091289,0.08294177775875551,51.204847103682816,2.2373386075679162,9562.434701269318,0.006131698213809651,0.23806984804052253,0
4,3644269654,379905126,9,3001,750,92,0.9009534222091289,0.08571354985325001,50.94016872779704,2.2192931751375284,9329.222928250436,0.0005331911490269261,0.238336443615036,1
4,3644269654,1310733058,10,3001,750,92,0.9009534222091289,0.08489944083130693,47.471831830815255,2.192072867517712,9133.980607106441,0.0005331911490269261,0.2513996267661957,1
5,1206282609,1804530337,2,3001,750,92,0.9006457820853041,0.10923226326707591,72.30599875000541,2.6345937922319664,12363.19791434385,0.26606238336443616,0.7339376166355639,0
5,1206282609,1754506559,3,3001,750,92,0.9006457820853041,0.10283030782688367,68.67450941307945,2.6329580330518714,11515.020305628941,0.20741135697147428,0.5499866702212743,0
5,1206282609,1440153767,4,3001,750,92,0.9006457820853041,0.09366768527051272,64.57062369616044,2.5409636485629727,10908.776798719045,0.030925086643561715,0.39322847240735803,0
5,1206282609,195595883,5,3001,750,92,0.9006457820853041,0.08694215817447108,58.90868455588532,2.3345660163156,10480.471922224726,0.007464676086376966,0.4108237803252466,0
5,1206282609,1741946254,6,3001,750,92,0.9006457820853041,0.08782665861695674,55.521648508755185,2.3598896498290416,10067.812952870014,0.007198080511863503,0.3047187416688883,0
5,1206282609,1795916932,7,3001,750,92,0.9006457820853041,0.09162381899876249,50.87584298977863,2.3058067752776843,9723.529690310124,0.00693148493735004,0.27032791255665156,0
5,1206282609,1868369724,8,3001,750,92,0.9006457820853041,0.08139775733238797,48.1862246919291,2.269447624750666,9480.667615806527,0.006664889362836577,0.23567048786990136,0
5,1206282609,772510459,9,3001,750,92,0.9006457820853041,0.0848382662162991,44.77521425634877,2.323116760748415,9289.926732499325,0.006664889362836577,0.2044788056518262,0
5,1206282609,2066468239,10,3001,750,92,0.9006457820853041,0.08754063380141791,41.566602900676905,2.2768031127533783,9122.868548330494,0.006398293788323114,0.2028792322047454,0
6,3543069911,1851122073,2,3001,750,91,0.900575171473198,0.11584454824039499,74.2831338181892,2.65786804866046,12517.565163018447,0.26526259664089574,0.7347374033591042,0
6,3543069911,1416427986,3,3001,750,91,0.900575171473198,0.10118360681827096,69.71043522209061,2.7085528283736586,11654.766566077316,0.19781391628898962,0.5614502799253532,0
6,3543069911,1665412277,4,3001,750,91,0.900575171473198,0.09175610285907601,61.17348673075939,2.5639590656585116,11018.158814442462,0.03359104238869635,0.38603039189549454,0
6,3543069911,352500164,5,3001,750,91,0.900575171473198,0.08041589399280621,56.63268092383429,2.494857213159133,10580.25363918298,0.03199146894161557,0.3433750999733404,0
6,3543069911,42795607,6,3001,750,91,0.900575171473198,0.08371761853168407,51.35281210599289,2.4015140790120175,10188.037545697262,0.006131698213809651,0.3156491602239403,0
6,3543069911,1558946962,7,3001,750,91,0.900575171473198,0.09271875001532716,47.901409306477,2.3506613046392224,9853.503109406967,0.006398293788323114,0.2820581178352439,0
6,3543069911,1881302612,8,3001,750,91,0.900575171473198,0.07955230487949483,46.166409656351526,2.2683687122122658,9618.7027818766,0.006131698213809651,0.24286856838176485,0
6,3543069911,314965969,9,3001,750,91,0.900575171473198,0.08078549689103345,42.59952659217625,2.2550337888514687,9420.852441705301,0.006131698213809651,0.25086643561716876,0
