method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,status,error
bistochastic,3,7,21,42,bistochastic_r3_c7_seed42,0.3898092362768272,0.04049452003931524,268542.7102440825,440096.3210349626,0.7761667129293858,0.9135725558501374,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.6510619259923425,34,940,0.02232435981615233,0.6172028890347997,0.15307418775348874,0.26848192430892986,0.44271906547445444,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,ok,
bistochastic,3,8,24,42,bistochastic_r3_c8_seed42,0.39619513071859946,0.040355505510019554,265732.3015937409,440096.3210349626,0.8019119526993874,0.9132036987413928,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.6381736581034182,24,934,0.015758371634931056,0.613263296126067,0.15652127109295033,0.2649104252774071,0.46751870260413303,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,ok,
bistochastic,4,3,12,42,bistochastic_r4_c3_seed42,0.32385757169245644,0.04081102297995041,297567.7951937959,440096.3210349626,0.6042304449970451,0.6723184628774201,0.9202935060106849,383,1418,0.10210610503865636,0.37803252466009063,0.7410022150161044,122,1025,0.08010505581089954,0.6730137885751806,0.13041746804408638,0.3049353362465373,0.3469836114796903,41.06985939869995,6.319866134669443e-09,3,0.10463767372024076,0.005578205041358305,175.31618235137296,ok,
bistochastic,4,4,16,42,bistochastic_r4_c4_seed42,0.3563245353136525,0.04071847949123435,283279.20394893154,440096.3210349626,0.7172618508327547,0.8319757018218327,0.9202935060106849,383,1418,0.10210610503865636,0.37803252466009063,0.708271882667636,63,988,0.04136572554169402,0.6487196323046619,0.15837776769768983,0.30259233130442187,0.3816558691776181,41.06985939869995,6.319866134669443e-09,3,0.10463767372024076,0.005578205041358305,175.31618235137296,ok,
bistochastic,4,5,20,42,bistochastic_r4_c5_seed42,0.371371044480464,0.04057163963731281,276657.29062019894,440096.3210349626,0.765360266867241,0.8902390604260952,0.920075117028649,381,1418,0.10157291388962943,0.37803252466009063,0.6835438062681373,44,977,0.028890347997373604,0.6414970453053185,0.15310541875616726,0.29070025692804646,0.4298809340479064,41.3556146140897,5.496602315147035e-09,3,0.1050010658869738,0.005618852066589696,174.40069314849373,ok,
bistochastic,4,6,24,42,bistochastic_r4_c6_seed42,0.3806029305804375,0.04047760513275997,272594.3715113868,440096.3210349626,0.7652232901547957,0.8901376928100245,0.920075117028649,381,1418,0.10157291388962943,0.37803252466009063,0.6791310067708716,44,941,0.028890347997373604,0.6178594878529219,0.15427880707307007,0.2745743527294374,0.4366571717799038,41.3556146140897,5.496602315147035e-09,3,0.1050010658869738,0.005618852066589696,174.40069314849373,ok,
bistochastic,4,7,28,42,bistochastic_r4_c7_seed42,0.3919452209282086,0.040318117065534224,267602.67125722236,440096.3210349626,0.7761667129293858,0.9135725558501374,0.920075117028649,381,1418,0.10157291388962943,0.37803252466009063,0.6510619259923425,34,940,0.02232435981615233,0.6172028890347997,0.15307418775348874,0.26848192430892986,0.44271906547445444,41.3556146140897,5.496602315147035e-09,3,0.1050010658869738,0.005618852066589696,174.40069314849373,ok,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0.39835527652625624,0.0401809638452716,264781.629370892,440096.3210349626,0.8019119526993874,0.9132036987413928,0.920075117028649,381,1418,0.10157291388962943,0.37803252466009063,0.6381736581034182,24,934,0.015758371634931056,0.613263296126067,0.15652127109295033,0.2649104252774071,0.46751870260413303,41.3556146140897,5.496602315147035e-09,3,0.1050010658869738,0.005618852066589696,174.40069314849373,ok,
bistochastic,5,3,15,42,bistochastic_r5_c3_seed42,0.3263525879764334,0.04110223059308758,296469.7477062953,440096.3210349626,0.6244754362176751,0.7012601831062447,0.9713950912049221,383,1031,0.10210610503865636,0.27486003732338044,0.7410022150161044,122,1025,0.08010505581089954,0.6730137885751806,0.13041746804408638,0.3049353362465373,0.3469836114796903,98.39203934356631,2.1632634159566242e-20,4,0.16195950807639953,0.011652836402151751,175.31618235137296,ok,
bistochastic,5,4,20,42,bistochastic_r5_c4_seed42,0.3591636495619511,0.041036195465227736,282029.72021325736,440096.3210349626,0.7317183030534545,0.849745951777486,0.9713950912049221,383,1031,0.10210610503865636,0.27486003732338044,0.708271882667636,63,988,0.04136572554169402,0.6487196323046619,0.15837776769768983,0.30259233130442187,0.3816558691776181,98.39203934356631,2.1632634159566242e-20,4,0.16195950807639953,0.011652836402151751,175.31618235137296,ok,
