cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
16366,2,"D90,D926",3,3331,0.8880298587043455,1504,1827,0.54848393875713
10172,2,"D53,D673",3,3329,0.8874966675553185,1511,1818,0.5461099429258035
16730,2,"D93,D108",3,3329,0.8874966675553185,1471,1858,0.5581255632322019
265,2,"D1,D12",4,3328,0.8872300719808052,1501,1827,0.5489783653846154
29659,2,"D596,D806",3,3328,0.8872300719808052,1595,1733,0.5207331730769231
18851,2,"D109,D118",1,3327,0.8869634764062917,1505,1822,0.5476405169822663
10143,2,"D53,D469",3,3325,0.8864302852572647,1589,1736,0.5221052631578947
30571,2,"D685,D741",2,3325,0.8864302852572647,1588,1737,0.522406015037594
20154,2,"D128,D950",4,3323,0.8858970941082378,1485,1838,0.5531146554318387
354,2,"D1,D128",4,3322,0.8856304985337243,1485,1837,0.5529801324503312
12854,2,"D68,D137",4,3322,0.8856304985337243,1489,1833,0.5517760385310054
23200,2,"D164,D214",1,3322,0.8856304985337243,1598,1724,0.5189644792293799
1742,2,"D7,D937",5,3320,0.8850973073846974,1551,1769,0.5328313253012048
16407,2,"D91,D143",3,3320,0.8850973073846974,1476,1844,0.555421686746988
16879,2,"D93,D925",3,3319,0.8848307118101839,1526,1793,0.5402229587225068
10197,2,"D53,D926",3,3318,0.8845641162356704,1517,1801,0.5427968655816757
22798,2,"D161,D187",3,3318,0.8845641162356704,1554,1764,0.5316455696202531
16856,2,"D93,D674",3,3316,0.8840309250866436,1551,1765,0.5322677925211098
16411,2,"D91,D151",3,3315,0.8837643295121301,1493,1822,0.5496229260935144
12227,2,"D65,D77",3,3314,0.8834977339376167,1463,1851,0.5585395292697647
4907,2,"D22,D118",2,3313,0.8832311383631032,1487,1826,0.5511620887413221
10557,2,"D55,D469",3,3313,0.8832311383631032,1577,1736,0.5239963779052218
12223,2,"D65,D73",3,3313,0.8832311383631032,1527,1786,0.5390884394808331
10954,2,"D57,D426",3,3311,0.8826979472140762,1547,1764,0.53276955602537
16870,2,"D93,D802",3,3311,0.8826979472140762,1498,1813,0.547568710359408
1741,2,"D7,D936",5,3310,0.8824313516395628,1565,1745,0.527190332326284
12857,2,"D68,D143",3,3310,0.8824313516395628,1483,1827,0.5519637462235649
16356,2,"D90,D802",3,3309,0.8821647560650493,1482,1827,0.5521305530371714
389,2,"D1,D187",3,3308,0.8818981604905358,1541,1767,0.5341596130592503
4991,2,"D22,D419",2,3308,0.8818981604905358,1524,1784,0.5392986698911729
13732,2,"D73,D802",3,3308,0.8818981604905358,1511,1797,0.5432285368802902
16220,2,"D90,D108",3,3308,0.8818981604905358,1442,1866,0.5640870616686819
19449,2,"D118,D741",2,3306,0.881364969341509,1492,1814,0.5486993345432547
23496,2,"D166,D611",2,3306,0.881364969341509,1557,1749,0.5290381125226861
1740,2,"D7,D934",5,3305,0.8810983737669955,1512,1793,0.5425113464447806
6961,2,"D35,D93",3,3305,0.8810983737669955,1490,1815,0.5491679273827534
7782,2,"D38,D950",4,3304,0.880831778192482,1483,1821,0.5511501210653753
12964,2,"D68,D674",3,3304,0.880831778192482,1511,1793,0.5426755447941889
29269,2,"D479,D802",3,3304,0.880831778192482,1522,1782,0.5393462469733656
3084,2,"D12,D950",4,3301,0.8800319914689416,1487,1814,0.5495304453196002
7143,2,"D36,D53",3,3301,0.8800319914689416,1475,1826,0.5531657073614057
16981,2,"D96,D419",3,3301,0.8800319914689416,1504,1797,0.5443804907603756
17007,2,"D96,D621",3,3301,0.8800319914689416,1488,1813,0.5492275068161163
30785,2,"D741,D843",2,3300,0.8797653958944281,1452,1848,0.56
16880,2,"D93,D926",3,3299,0.8794988003199147,1519,1780,0.5395574416489846
30062,2,"D621,D741",2,3299,0.8794988003199147,1509,1790,0.5425886632312822
13014,2,"D69,D90",3,3298,0.8792322047454012,1498,1800,0.5457853244390539
14130,2,"D76,D90",3,3298,0.8792322047454012,1472,1826,0.553668890236507
