model,partition,cluster,cluster_size,cluster_fraction,activity_0_count,activity_1_count,activity_0_within_cluster,activity_1_within_cluster,fraction_of_all_activity_0,fraction_of_all_activity_1,activity_0_enrichment,activity_1_enrichment,activity_1_difference_from_global,majority_activity,cluster_purity,cluster_entropy_bits,below_minimum_cluster_fraction
binary,binary_selected,1,1267,0.3377765929085577,546,721,0.430939226519337,0.569060773480663,0.31799650553290626,0.3544739429695182,0.9414403253780042,1.0494331176627174,0.026805374920279124,1,0.569060773480663,0.9861943546460404,False
binary,binary_selected,2,1056,0.28152492668621704,427,629,0.4043560606060606,0.5956439393939394,0.24868957483983692,0.30924287118977384,0.8833660939623375,1.0984564487053428,0.0533885408335556,1,0.5956439393939394,0.973441762365061,False
binary,binary_selected,3,936,0.24953345774460145,456,480,0.48717948717948717,0.5128205128205128,0.26557949912638323,0.2359882005899705,1.0643041679733585,0.9457176713813882,-0.029434885739871075,1,0.5128205128205128,0.999525689293649,False
binary,binary_k2,0,1428,0.38069848040522525,744,684,0.5210084033613446,0.4789915966386555,0.43331391962725685,0.336283185840708,1.1382076418220173,0.8833320938995068,-0.06326380192172837,0,0.5210084033613446,0.9987261494308297,False
binary,binary_k2,1,2323,0.6193015195947748,973,1350,0.418854928971158,0.581145071028842,0.5666860803727432,0.6637168141592921,0.9150406747645974,1.0717183684509275,0.0388896724684582,1,0.581145071028842,0.980916793505931,False
binary,binary_k3,0,1428,0.38069848040522525,744,684,0.5210084033613446,0.4789915966386555,0.43331391962725685,0.336283185840708,1.1382076418220173,0.8833320938995068,-0.06326380192172837,0,0.5210084033613446,0.9987261494308297,False
binary,binary_k3,1,1056,0.28152492668621704,427,629,0.4043560606060606,0.5956439393939394,0.24868957483983692,0.30924287118977384,0.8833660939623375,1.0984564487053428,0.0533885408335556,1,0.5956439393939394,0.973441762365061,False
binary,binary_k3,2,1267,0.3377765929085577,546,721,0.430939226519337,0.569060773480663,0.31799650553290626,0.3544739429695182,0.9414403253780042,1.0494331176627174,0.026805374920279124,1,0.569060773480663,0.9861943546460404,False
binary,binary_k4,0,936,0.24953345774460145,456,480,0.48717948717948717,0.5128205128205128,0.26557949912638323,0.2359882005899705,1.0643041679733585,0.9457176713813882,-0.029434885739871075,1,0.5128205128205128,0.999525689293649,False
binary,binary_k4,1,492,0.13116502266062383,288,204,0.5853658536585366,0.4146341463414634,0.16773442050087362,0.10029498525073746,1.2788044945097092,0.7646473367388541,-0.12762125221892046,0,0.5853658536585366,0.9788698505067783,False
binary,binary_k4,2,1056,0.28152492668621704,427,629,0.4043560606060606,0.5956439393939394,0.24868957483983692,0.30924287118977384,0.8833660939623375,1.0984564487053428,0.0533885408335556,1,0.5956439393939394,0.973441762365061,False
binary,binary_k4,3,1267,0.3377765929085577,546,721,0.430939226519337,0.569060773480663,0.31799650553290626,0.3544739429695182,0.9414403253780042,1.0494331176627174,0.026805374920279124,1,0.569060773480663,0.9861943546460404,False
numeric,numeric_selected,0,809,0.21567581978139164,330,479,0.4079110012360939,0.5920889987639061,0.19219569015725102,0.23549655850540807,0.8911323038069822,1.091900606865001,0.04983360020352223,1,0.5920889987639061,0.9753905341991376,False
numeric,numeric_selected,1,970,0.2585977072780592,590,380,0.6082474226804123,0.3917525773195876,0.34362259755387303,0.18682399213372664,1.3287921272418326,0.7224503036016584,-0.15050282124079623,0,0.6082474226804123,0.9659212398860464,False
numeric,numeric_selected,2,1053,0.2807251399626766,323,730,0.3067426400759734,0.6932573599240266,0.18811881188118812,0.35889872173058013,0.6701174390943367,1.2784701853859508,0.15100196136364274,1,0.6932573599240266,0.8893775445619706,False
numeric,numeric_selected,3,919,0.24500133297787258,474,445,0.515778019586507,0.4842219804134929,0.27606290040768783,0.21878072763028517,1.126781218094926,0.8929777033092487,-0.05803341814689095,0,0.515778019586507,0.999281574702856,False
numeric,numeric_k2,0,3748,0.9992002132764596,1715,2033,0.45757737459978653,0.5424226254002135,0.9988351776354106,0.9995083579154376,0.9996346721746064,1.0003083912862345,0.00016722683982961506,1,0.5424226254002135,0.9948009754119774,False
numeric,numeric_k2,1,3,0.0007997867235403892,2,1,0.6666666666666666,0.3333333333333333,0.0011648223645894002,0.0004916420845624386,1.45641622985828,0.6147164863979023,-0.20892206522705054,0,0.6666666666666666,0.9182958340544896,True
numeric,numeric_k3,0,1363,0.3633697680618502,570,793,0.4181951577402788,0.5818048422597212,0.331974373907979,0.38987217305801375,0.9135993224716283,1.072935085209545,0.03954944369933733,1,0.5818048422597212,0.9806037959373047,False
numeric,numeric_k3,1,1218,0.32471340975739804,466,752,0.3825944170771757,0.6174055829228243,0.27140361094933024,0.3697148475909538,0.8358250777265498,1.138588171850302,0.07515018436244048,1,0.6174055829228243,0.9598537874708004,False
numeric,numeric_k3,2,1170,0.3119168221807518,681,489,0.5820512820512821,0.41794871794871796,0.39662201514269074,0.24041297935103245,1.27156340068396,0.7707599021758315,-0.12430668061166589,0,0.5820512820512821,0.9804862220708841,False
numeric,numeric_k4,0,1053,0.2807251399626766,323,730,0.3067426400759734,0.6932573599240266,0.18811881188118812,0.35889872173058013,0.6701174390943367,1.2784701853859508,0.15100196136364274,1,0.6932573599240266,0.8893775445619706,False
numeric,numeric_k4,1,970,0.2585977072780592,590,380,0.6082474226804123,0.3917525773195876,0.34362259755387303,0.18682399213372664,1.3287921272418326,0.7224503036016584,-0.15050282124079623,0,0.6082474226804123,0.9659212398860464,False
numeric,numeric_k4,2,919,0.24500133297787258,474,445,0.515778019586507,0.4842219804134929,0.27606290040768783,0.21878072763028517,1.126781218094926,0.8929777033092487,-0.05803341814689095,0,0.515778019586507,0.999281574702856,False
numeric,numeric_k4,3,809,0.21567581978139164,330,479,0.4079110012360939,0.5920889987639061,0.19219569015725102,0.23549655850540807,0.8911323038069822,1.091900606865001,0.04983360020352223,1,0.5920889987639061,0.9753905341991376,False
