method,n_row_clusters,n_column_clusters,n_blocks,block_r2_mean,block_r2_std,weighted_h_score_mean,weighted_h_score_std,row_cluster_entropy_mean,row_cluster_entropy_std,column_cluster_entropy_mean,column_cluster_entropy_std,smallest_row_cluster_fraction_mean,smallest_row_cluster_fraction_std,largest_row_cluster_fraction_mean,largest_row_cluster_fraction_std,smallest_column_cluster_fraction_mean,smallest_column_cluster_fraction_std,largest_column_cluster_fraction_mean,largest_column_cluster_fraction_std,feature_type_nmi_mean,feature_type_nmi_std,sparse_flag_nmi_mean,sparse_flag_nmi_std,feature_zero_fraction_eta2_mean,feature_zero_fraction_eta2_std,block_mean_range_mean,block_mean_range_std,block_zero_fraction_range_mean,block_zero_fraction_range_std,activity_chi2_p_value_mean,activity_chi2_p_value_std,activity_cramers_v_mean,activity_cramers_v_std,activity_nmi_mean,activity_nmi_std
bistochastic,3,7,21,0.3898092362768272,,0.04049452003931524,,0.9934469035701733,,0.6510619259923425,,0.28152492668621704,,0.37803252466009063,,0.02232435981615233,,0.6172028890347997,,0.15307418775348874,,0.26848192430892986,,0.44271906547445444,,0.7761667129293858,,0.9135725558501374,,2.816426709791359e-09,,0.1024566202842796,,0.005895028177150219,
bistochastic,3,8,24,0.39619513071859946,,0.040355505510019554,,0.9934469035701733,,0.6381736581034182,,0.28152492668621704,,0.37803252466009063,,0.015758371634931056,,0.613263296126067,,0.15652127109295033,,0.2649104252774071,,0.46751870260413303,,0.8019119526993874,,0.9132036987413928,,2.816426709791359e-09,,0.1024566202842796,,0.005895028177150219,
bistochastic,4,3,12,0.32385757169245644,,0.04081102297995041,,0.9202935060106849,,0.7410022150161044,,0.10210610503865636,,0.37803252466009063,,0.08010505581089954,,0.6730137885751806,,0.13041746804408638,,0.3049353362465373,,0.3469836114796903,,0.6042304449970451,,0.6723184628774201,,6.319866134669443e-09,,0.10463767372024076,,0.005578205041358305,
bistochastic,4,4,16,0.3563245353136525,,0.04071847949123435,,0.9202935060106849,,0.708271882667636,,0.10210610503865636,,0.37803252466009063,,0.04136572554169402,,0.6487196323046619,,0.15837776769768983,,0.30259233130442187,,0.3816558691776181,,0.7172618508327547,,0.8319757018218327,,6.319866134669443e-09,,0.10463767372024076,,0.005578205041358305,
bistochastic,4,5,20,0.371371044480464,,0.04057163963731281,,0.920075117028649,,0.6835438062681373,,0.10157291388962943,,0.37803252466009063,,0.028890347997373604,,0.6414970453053185,,0.15310541875616726,,0.29070025692804646,,0.4298809340479064,,0.765360266867241,,0.8902390604260952,,5.496602315147035e-09,,0.1050010658869738,,0.005618852066589696,
bistochastic,4,6,24,0.3806029305804375,,0.04047760513275997,,0.920075117028649,,0.6791310067708716,,0.10157291388962943,,0.37803252466009063,,0.028890347997373604,,0.6178594878529219,,0.15427880707307007,,0.2745743527294374,,0.4366571717799038,,0.7652232901547957,,0.8901376928100245,,5.496602315147035e-09,,0.1050010658869738,,0.005618852066589696,
bistochastic,4,7,28,0.3919452209282086,,0.040318117065534224,,0.920075117028649,,0.6510619259923425,,0.10157291388962943,,0.37803252466009063,,0.02232435981615233,,0.6172028890347997,,0.15307418775348874,,0.26848192430892986,,0.44271906547445444,,0.7761667129293858,,0.9135725558501374,,5.496602315147035e-09,,0.1050010658869738,,0.005618852066589696,
bistochastic,4,8,32,0.39835527652625624,,0.0401809638452716,,0.920075117028649,,0.6381736581034182,,0.10157291388962943,,0.37803252466009063,,0.015758371634931056,,0.613263296126067,,0.15652127109295033,,0.2649104252774071,,0.46751870260413303,,0.8019119526993874,,0.9132036987413928,,5.496602315147035e-09,,0.1050010658869738,,0.005618852066589696,
bistochastic,5,3,15,0.3263525879764334,,0.04110223059308758,,0.9713950912049221,,0.7410022150161044,,0.10210610503865636,,0.27486003732338044,,0.08010505581089954,,0.6730137885751806,,0.13041746804408638,,0.3049353362465373,,0.3469836114796903,,0.6244754362176751,,0.7012601831062447,,2.1632634159566242e-20,,0.16195950807639953,,0.011652836402151751,
bistochastic,5,4,20,0.3591636495619511,,0.041036195465227736,,0.9713950912049221,,0.708271882667636,,0.10210610503865636,,0.27486003732338044,,0.04136572554169402,,0.6487196323046619,,0.15837776769768983,,0.30259233130442187,,0.3816558691776181,,0.7317183030534545,,0.849745951777486,,2.1632634159566242e-20,,0.16195950807639953,,0.011652836402151751,
bistochastic,5,5,25,0.37417549172518594,,0.040859261852531935,,0.9706827830179721,,0.6835438062681373,,0.10157291388962943,,0.2764596107704612,,0.028890347997373604,,0.6414970453053185,,0.15310541875616726,,0.29070025692804646,,0.4298809340479064,,0.7746683710548161,,0.9000947668469366,,7.056747224357377e-20,,0.15996087225186767,,0.011373079171059725,
