gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,mean_within_gower,eigengap,kmeans_inertia_spectral,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,3,0.1585996757970826,0.7427171683207793,0.36484981390319055,0.013017071516905537,350.45975754700925,True,188,1056,1428,"[1267, 1428, 1056]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,3,0.1585996757970826,0.7516103639033049,0.36484981390319055,0.0036126854826119548,321.36248722089147,True,188,1056,1428,"[1267, 1056, 1428]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,5,0.1584925217185732,0.7233638634873302,0.28895094452822906,0.02953098973821916,314.7469731060088,True,188,442,1156,"[1156, 1056, 603, 442, 494]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,5,0.15757223760781844,0.6736050787300255,0.2886515930554519,0.00803598042627572,390.95528364132963,True,188,494,1087,"[494, 1087, 1056, 507, 607]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,5,0.15747071328922793,0.6582444676236109,0.2886591308336677,0.0019190367143589204,419.480490504538,True,188,494,1085,"[1085, 609, 1056, 494, 507]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,2,0.15710006814287208,0.8880010079371754,0.4589259501986205,0.10518787380936759,68.39199877284554,True,188,1428,2323,"[1428, 2323]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,2,0.15710006814287208,0.8757738428673758,0.4589259501986205,0.03295737433607742,88.24435531138147,True,188,1428,2323,"[1428, 2323]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,2,0.15710006814287208,0.8716075652164875,0.4589259501986205,0.008459874495070683,95.72903516655992,True,188,1428,2323,"[1428, 2323]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,3,0.1554103346900382,0.6801121949307253,0.30085156295667365,0.039891145560280866,542.161491453915,True,188,1056,1428,"[1267, 1428, 1056]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,3,0.1554103346900382,0.7395693172006583,0.30085156295667365,0.012678331482325646,351.1569022628938,True,188,1056,1428,"[1056, 1267, 1428]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,3,0.1554103346900382,0.7492565521303499,0.30085156295667365,0.0035223039358702997,319.92494465478126,True,188,1056,1428,"[1056, 1428, 1267]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,2,0.15485536446834536,0.8857951034205714,0.39063754329054134,0.10547801726343206,71.30672476501144,True,188,1428,2323,"[2323, 1428]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,2,0.15485536446834536,0.8720364005455765,0.39063754329054134,0.03311293566151628,93.452973044598,True,188,1428,2323,"[2323, 1428]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,2,0.15485536446834536,0.8671904786268809,0.39063754329054134,0.008510714233354073,102.1080935557824,True,188,1428,2323,"[1428, 2323]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,2,0.15162677108299366,0.8822374131892439,0.3223490354642681,0.10585377811080351,76.11093196376817,True,188,1428,2323,"[2323, 1428]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,2,0.15162677108299366,0.866197068283186,0.3223490354642681,0.03338086200517123,101.68656966038371,True,188,1428,2323,"[2323, 1428]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,2,0.15162677108299366,0.86024202309207,0.3223490354642681,0.008602741834941332,112.22401676903053,True,188,1428,2323,"[2323, 1428]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,7,0.13357502551446745,0.4846144954174691,0.4068320456995903,0.0014512397001676756,790.0815770514718,True,188,306,1032,"[1032, 549, 601, 494, 306, 332, 437]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,6,0.133493945862101,0.5564989032020059,0.4081651756300347,0.0015815728382985537,610.4304430065049,True,188,333,1056,"[1056, 643, 603, 494, 622, 333]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,8,0.13307869536934075,0.4427877495125831,0.3937356203745318,0.0007317991745860401,912.9408334858751,True,188,286,852,"[852, 383, 437, 585, 286, 329, 311, 568]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,8,0.13277730635180107,0.43640012379719023,0.3937940009570592,0.0002444458132420139,941.4534703265765,True,188,284,851,"[388, 318, 851, 565, 328, 579, 438, 284]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,7,0.1321613455514293,0.4687608887400169,0.40633661088605033,0.00038704027026840136,827.8646756011935,True,188,313,1014,"[600, 562, 1014, 494, 331, 313, 437]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,6,0.13131768754472098,0.5431998524389566,0.34833774433553877,0.0015942342113152725,639.4951616110079,True,188,341,1056,"[603, 632, 1056, 341, 494, 625]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,8,0.1310148999968515,0.4386716161727785,0.3356842541573491,0.0007675859258821256,925.2014670801457,True,188,290,845,"[585, 566, 386, 845, 312, 329, 290, 438]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,8,0.13089116558892652,0.43084835168528673,0.33596113555767054,0.0002717760225256125,954.8667982776105,True,188,284,849,"[577, 849, 565, 328, 388, 441, 284, 319]"
