component,explained_variance_ratio,cumulative_explained_variance
PC129,0.0013996760695976637,0.7947110684408344
PC130,0.0013860715137219023,0.7960971399545563
PC131,0.0013703278279341973,0.7974674677824906
PC132,0.0013652209820764335,0.798832688764567
PC133,0.001347177785540095,0.8001798665501071
PC134,0.0013429640306121657,0.8015228305807193
PC135,0.0013384653995273746,0.8028612959802467
PC136,0.0013328033852253115,0.804194099365472
PC137,0.001316660138704108,0.8055107595041762
PC138,0.0013068688483846814,0.8068176283525609
PC139,0.0012942613289863604,0.8081118896815472
PC140,0.0012874332225571072,0.8093993229041043
PC141,0.0012840519790350816,0.8106833748831394
PC142,0.0012758459815776758,0.8119592208647171
PC143,0.001264666364114721,0.8132238872288318
PC144,0.001245694896397907,0.8144695821252297
PC145,0.0012317083018806348,0.8157012904271104
PC146,0.0012264608178954668,0.8169277512450058
PC147,0.001220465307884504,0.8181482165528904
PC148,0.0012111109108121152,0.8193593274637025
PC149,0.0012076839209867972,0.8205670113846893
PC150,0.0012029837833065847,0.821769995167996
PC151,0.0011930567353815394,0.8229630519033775
PC152,0.0011746177113689594,0.8241376696147464
PC153,0.001165044706630458,0.8253027143213769
PC154,0.0011531432404695652,0.8264558575618465
PC155,0.0011482289328949842,0.8276040864947415
PC156,0.0011366293972303388,0.8287407158919718
PC157,0.0011341005107674985,0.8298748164027393
PC158,0.0011235462009994146,0.8309983626037387
PC159,0.0011147233917170264,0.8321130859954557
PC160,0.001108300632849939,0.8332213866283057
PC161,0.0011044946533027493,0.8343258812816085
PC162,0.0010932111644932937,0.8354190924461018
PC163,0.0010809453448038108,0.8365000377909056
PC164,0.0010767400302894618,0.8375767778211951
PC165,0.0010688780314669394,0.838645655852662
PC166,0.0010631326519133716,0.8397087885045754
PC167,0.001057004940788671,0.8407657934453641
PC168,0.001049430642820712,0.8418152240881848
PC169,0.0010434591214404255,0.8428586832096252
PC170,0.0010338578139630072,0.8438925410235882
PC171,0.0010192173684449473,0.8449117583920331
PC172,0.001008158232448858,0.845919916624482
PC173,0.0009990599849189227,0.8469189766094009
PC174,0.0009943178442681944,0.847913294453669
PC175,0.00098421789196546,0.8488975123456345
PC176,0.0009826399619810812,0.8498801523076156
PC177,0.0009719474993330166,0.8508520998069486
PC178,0.0009689352067080767,0.8518210350136567
PC179,0.0009589537107585433,0.8527799887244152
PC180,0.000957706662789035,0.8537376953872042
PC181,0.0009490402641897805,0.854686735651394
PC182,0.0009473516785889616,0.8556340873299829
PC183,0.0009384763068475953,0.8565725636368305
PC184,0.0009318074865690982,0.8575043711233996
PC185,0.0009265925512460259,0.8584309636746457
PC186,0.0009198341488766741,0.8593507978235223
PC187,0.0009125742784400985,0.8602633721019624
PC188,0.0009063678026392931,0.8611697399046017
PC189,0.00089580791048975,0.8620655478150914
PC190,0.0008865190214259999,0.8629520668365174
PC191,0.0008809641881979509,0.8638330310247153
PC192,0.000875652965172426,0.8647086839898878
PC193,0.0008738048501362146,0.865582488840024
PC194,0.0008656579432239013,0.8664481467832479
PC195,0.0008582009479002104,0.8673063477311481
PC196,0.000852270043806934,0.8681586177749551
PC197,0.0008486286877529563,0.869007246462708
PC198,0.0008407297591918726,0.8698479762218999
PC199,0.0008353853746200855,0.87068336159652
PC200,0.0008316259182870177,0.871514987514807
PC201,0.000824726431211365,0.8723397139460184
PC202,0.0008211049444359171,0.8731608188904543
PC203,0.0008138440468878505,0.8739746629373422
PC204,0.0008069068895852727,0.8747815698269275
PC205,0.000804545059929846,0.8755861148868573
PC206,0.0008004685529670187,0.8763865834398243
PC207,0.0007949100811964928,0.8771814935210208
PC208,0.0007911853720938398,0.8779726788931147
PC209,0.0007849745248927412,0.8787576534180075
PC210,0.000781649482234404,0.8795393029002418
PC211,0.0007735294134912924,0.8803128323137331
PC212,0.0007689648641636022,0.8810817971778967
PC213,0.0007656354267172847,0.881847432604614
PC214,0.0007557565291894184,0.8826031891338034
