split,repeat,fold,k,train_size,validation_size,remaining_features,pca_components,explained_variance,mean_validation_within_variance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size
12,3,2,7,3001,750,1515,230,0.9005202556349988,45.80020126037674,0.10227885309597651,7,37,191
12,3,2,8,3001,750,1515,230,0.9005202556349988,44.909183050907664,0.10753246511298421,8,36,189
12,3,2,9,3001,750,1515,230,0.9005202556349988,44.147734484110224,0.11362779553358328,9,32,158
12,3,2,10,3001,750,1515,230,0.9005202556349988,43.51843554040686,0.11298595301007125,10,25,128
13,3,3,2,3001,750,1507,234,0.9001871001575888,58.61992838182034,0.2519718222993108,2,201,549
13,3,3,3,3001,750,1507,234,0.9001871001575888,53.025117144085854,0.12921167855319346,3,201,288
13,3,3,4,3001,750,1507,234,0.9001871001575888,50.178807659024564,0.14262373609623166,4,34,288
13,3,3,5,3001,750,1507,234,0.9001871001575888,48.600852576835486,0.08395983048242554,5,34,261
13,3,3,6,3001,750,1507,234,0.9001871001575888,47.68110236219055,0.08796890152242152,6,34,261
13,3,3,7,3001,750,1507,234,0.9001871001575888,46.51553537765572,0.0980197201777227,7,34,261
13,3,3,8,3001,750,1507,234,0.9001871001575888,45.437069683684285,0.10128865852212493,8,34,135
13,3,3,9,3001,750,1507,234,0.9001871001575888,44.52530425451704,0.10666979833039864,9,34,140
13,3,3,10,3001,750,1507,234,0.9001871001575888,43.82083632788792,0.10873772267231833,10,20,133
14,3,4,2,3001,750,1518,231,0.9003978823354745,58.39614993528697,0.2285042057155518,2,212,538
14,3,4,3,3001,750,1518,231,0.9003978823354745,52.48706760721415,0.1320824711635636,3,212,277
14,3,4,4,3001,750,1518,231,0.9003978823354745,50.24751885201088,0.14306859811225625,4,32,277
14,3,4,5,3001,750,1518,231,0.9003978823354745,48.624165379634206,0.08670830998343183,5,32,261
14,3,4,6,3001,750,1518,231,0.9003978823354745,47.62253104121626,0.0879033997443978,6,32,261
14,3,4,7,3001,750,1518,231,0.9003978823354745,46.54750417006741,0.09795427117535828,7,32,261
14,3,4,8,3001,750,1518,231,0.9003978823354745,45.61494571065205,0.09827086993121319,8,32,147
14,3,4,9,3001,750,1518,231,0.9003978823354745,44.8398323657107,0.10233930705323623,9,28,137
14,3,4,10,3001,750,1518,231,0.9003978823354745,44.01335397434364,0.10684459527140448,10,32,119
15,3,5,2,3001,750,1516,232,0.9001914573401909,56.97861714964285,0.23928606535530692,2,204,546
15,3,5,3,3001,750,1516,232,0.9001914573401909,50.91803099620166,0.13981566977287224,3,204,284
15,3,5,4,3001,750,1516,232,0.9001914573401909,48.423350003213905,0.15159042821295265,4,29,284
15,3,5,5,3001,750,1516,232,0.9001914573401909,46.77140662996906,0.09225960410244456,5,29,262
15,3,5,6,3001,750,1516,232,0.9001914573401909,45.740203685797965,0.1018546484499534,6,29,262
15,3,5,7,3001,750,1516,232,0.9001914573401909,44.79301599842176,0.10478839071316216,7,29,262
15,3,5,8,3001,750,1516,232,0.9001914573401909,44.28129959668115,0.10494761400694592,8,28,234
15,3,5,9,3001,750,1516,232,0.9001914573401909,43.00927456804191,0.1086405271440057,9,29,119
15,3,5,10,3001,750,1516,232,0.9001914573401909,42.58019366789416,0.1134985653935543,10,26,171
16,4,1,2,3000,751,1517,232,0.9004227069199237,58.65522898225665,0.23486059946107213,2,221,530
16,4,1,3,3000,751,1517,232,0.9004227069199237,53.322720977009666,0.12287900078310676,3,221,272
16,4,1,4,3000,751,1517,232,0.9004227069199237,50.652156841335454,0.1354967789307379,4,33,272
16,4,1,5,3000,751,1517,232,0.9004227069199237,49.07536801358135,0.08260842781345695,5,33,258
16,4,1,6,3000,751,1517,232,0.9004227069199237,48.10860601111018,0.0909225174687968,6,33,258
16,4,1,7,3000,751,1517,232,0.9004227069199237,47.13988052528126,0.09211477313810497,7,33,188
16,4,1,8,3000,751,1517,232,0.9004227069199237,46.165864432260015,0.09416121843467183,8,33,159
16,4,1,9,3000,751,1517,232,0.9004227069199237,45.20413689032684,0.10257315732129364,9,33,133
16,4,1,10,3000,751,1517,232,0.9004227069199237,44.38015806888255,0.10592946229307652,10,33,128
17,4,2,2,3001,750,1525,231,0.9000469414006379,58.53884124196065,0.23374693296386517,2,217,533
17,4,2,3,3001,750,1525,231,0.9000469414006379,52.525278152067905,0.13713560093921573,3,217,279
17,4,2,4,3001,750,1525,231,0.9000469414006379,49.68896086797498,0.15094722108373224,4,36,279
17,4,2,5,3001,750,1525,231,0.9000469414006379,48.01909217011416,0.09374042833008998,5,36,254
17,4,2,6,3001,750,1525,231,0.9000469414006379,46.94603472628942,0.10424043598161002,6,36,254
17,4,2,7,3001,750,1525,231,0.9000469414006379,46.1083117418101,0.10154771253769884,7,36,181
17,4,2,8,3001,750,1525,231,0.9000469414006379,45.08183703000124,0.10631643030212053,8,36,137
17,4,2,9,3001,750,1525,231,0.9000469414006379,44.43643879086127,0.10935814177279811,9,36,119
17,4,2,10,3001,750,1525,231,0.9000469414006379,43.547898009186426,0.11372297026078099,10,36,117
18,4,3,2,3001,750,1506,232,0.9004630675191408,57.672471780329595,0.24031472535842466,2,213,537
18,4,3,3,3001,750,1506,232,0.9004630675191408,52.033672113646304,0.1348293185704925,3,213,296
18,4,3,4,3001,750,1506,232,0.9004630675191408,49.69332421362143,0.14645399103229453,4,32,296
18,4,3,5,3001,750,1506,232,0.9004630675191408,48.08518192346969,0.08337356809900176,5,32,241
18,4,3,6,3001,750,1506,232,0.9004630675191408,46.98795237518348,0.09376144389719061,6,32,241
18,4,3,7,3001,750,1506,232,0.9004630675191408,46.02662213386807,0.09553793556144599,7,32,181
18,4,3,8,3001,750,1506,232,0.9004630675191408,44.88793037355041,0.09957992986098478,8,32,132
18,4,3,9,3001,750,1506,232,0.9004630675191408,44.08246391983162,0.10493501973681428,9,32,119
18,4,3,10,3001,750,1506,232,0.9004630675191408,43.303975042681245,0.11024173094032157,10,32,119
19,4,4,2,3001,750,1519,231,0.9006162470704755,58.01094688599792,0.23347305901824233,2,216,534
19,4,4,3,3001,750,1519,231,0.9006162470704755,52.28328475552941,0.1316897321801323,3,216,279
19,4,4,4,3001,750,1519,231,0.9006162470704755,49.65605423783381,0.1445812559086941,4,37,279
19,4,4,5,3001,750,1519,231,0.9006162470704755,47.98948413914432,0.09227336281801407,5,37,255
19,4,4,6,3001,750,1519,231,0.9006162470704755,46.916571373812566,0.10039175521233475,6,37,255
19,4,4,7,3001,750,1519,231,0.9006162470704755,46.03043197587637,0.09912763978373096,7,37,179
19,4,4,8,3001,750,1519,231,0.9006162470704755,45.09428481027988,0.1026120853633502,8,37,136
19,4,4,9,3001,750,1519,231,0.9006162470704755,44.48794725694582,0.10662083011486874,9,37,207
