method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,fit_warning_count,fit_warnings,status,error
scale,2,8,16,42,scale_r2_c8_seed42,0.2838844928506915,0.03968092328144115,315159.8001324973,440096.32103496284,0.6286468407479046,0.7559925788497217,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7349187299676239,27,726,0.01772816808929744,0.4766907419566645,0.4554736528320087,0.2878497719468002,0.3535025192837921,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,8,16,7,scale_r2_c8_seed7,0.28922890047517313,0.03961232597664385,312807.7459988517,440096.32103496284,0.6286468407479046,0.7559925788497217,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7382944506077467,27,722,0.01772816808929744,0.47406434668417596,0.45969231171173125,0.2882501458580722,0.35523788414425295,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,8,16,99,scale_r2_c8_seed99,0.2872455335182331,0.03960975330552914,313680.6184998633,440096.32103496284,0.6286468407479046,0.7559925788497217,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7382699621019524,31,724,0.020354563361785948,0.47537754432042023,0.4568585577867809,0.2851197532860789,0.35532267854298927,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,3,9,42,scale_r3_c3_seed42,0.1310617402869506,0.04111785291195838,382416.5313062361,440096.32103496284,0.5035314933666786,0.5035314933666786,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.5997276250367078,93,1186,0.06106369008535785,0.7787261982928431,0.23903725275961513,0.20756848962048768,0.02597103518872137,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,3,9,7,scale_r3_c3_seed7,0.13159519199697867,0.04111291610035723,382181.76117120293,440096.32103496284,0.4899390009014583,0.48993900090145837,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.6077907771359561,99,1181,0.06500328299409061,0.7754432042022325,0.24175840528257964,0.20987636071499474,0.02557289757263686,38.8197615916312,3.7187405202452774e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,3,9,99,scale_r3_c3_seed99,0.1310617402869505,0.04111785291195838,382416.53130623617,440096.32103496284,0.5035314933666786,0.5035314933666786,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.5997276250367078,93,1186,0.06106369008535785,0.7787261982928431,0.23903725275961513,0.20756848962048768,0.02597103518872137,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,4,12,42,scale_r3_c4_seed42,0.27147201459094206,0.040655675070834146,320622.4861495395,440096.32103496284,0.5127344643050508,0.6831351495382729,0.655314514194603,173,2695,0.04612103439082911,0.718475073313783,0.622814684375275,88,1105,0.05778069599474721,0.7255416940249507,0.19742399548076114,0.23466094126573572,0.28732326816672477,20.219525109176693,4.0680465064374045e-05,2,0.0734195880734178,0.0038709722598995453,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,4,12,7,scale_r3_c4_seed7,0.27236860070803903,0.04065748424633761,320227.90189791407,440096.32103496284,0.5113371629735275,0.6861270259004684,0.655314514194603,173,2695,0.04612103439082911,0.718475073313783,0.6239360554547781,88,1104,0.05778069599474721,0.7248850952068286,0.1968977987134142,0.23513668467323343,0.2935344867946466,20.21952510917669,4.068046506437411e-05,2,0.0734195880734178,0.0038709722598995453,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,4,12,99,scale_r3_c4_seed99,0.27236860070803925,0.04065748424633761,320227.901897914,440096.32103496284,0.5113371629735275,0.6861270259004684,0.655314514194603,173,2695,0.04612103439082911,0.718475073313783,0.6239360554547781,88,1104,0.05778069599474721,0.7248850952068286,0.1968977987134142,0.23513668467323343,0.2935344867946466,20.219525109176693,4.0680465064374045e-05,2,0.0734195880734178,0.0038709722598995453,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,5,15,42,scale_r3_c5_seed42,0.2736969050986371,0.039944052036755585,319643.32002239727,440096.32103496284,0.5656759988204509,0.7317926794979935,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7924228397425971,81,791,0.05318450426789232,0.5193696651346028,0.4286613232072698,0.3054270302980756,0.32593187534617335,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,5,15,7,scale_r3_c5_seed7,0.2738832616385044,0.03994312143163462,319561.3051948009,440096.32103496284,0.5656916646928943,0.7318083453704369,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7940734347774383,81,788,0.05318450426789232,0.5173998686802364,0.4317180130623463,0.3082471234075377,0.3265039602028149,38.8197615916312,3.7187405202452774e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,5,15,99,scale_r3_c5_seed99,0.2738832616385045,0.03994312143163462,319561.30519480084,440096.32103496284,0.5656916646928943,0.7318083453704369,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7940734347774383,81,788,0.05318450426789232,0.5173998686802364,0.43171801306234636,0.3082471234075377,0.3265039602028149,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
