component,explained_variance_ratio,cumulative_explained_variance
137,0.001176368029092657,0.8805621519594173
138,0.0011716283406437748,0.8817337803000611
139,0.0011477988220191726,0.8828815791220803
140,0.0011429853857235133,0.8840245645078039
141,0.0011399408982557292,0.8851645054060596
142,0.0011207005168505084,0.8862852059229102
143,0.001116628387468013,0.8874018343103782
144,0.0011055248761074018,0.8885073591864856
145,0.0010894262108104263,0.889596785397296
146,0.0010772826167842803,0.8906740680140803
147,0.001061378562070807,0.8917354465761511
148,0.0010600016791800675,0.8927954482553312
149,0.0010479445965933395,0.8938433928519245
150,0.0010316156361725975,0.8948750084880971
151,0.001010943712463708,0.8958859522005608
152,0.0010038379648777851,0.8968897901654386
153,0.0009996606001434673,0.897889450765582
154,0.0009898881650303982,0.8988793389306124
155,0.000987579551979061,0.8998669184825915
