fold,k,mean_validation_within_distance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size,remaining_features,pca_components,explained_variance
3,6,48.056143993288906,0.08962125206483533,6,20,136,1523,236,0.9000229319372431
3,7,47.285101167491376,0.09123121734907674,7,20,136,1523,236,0.9000229319372431
3,8,46.417285316837386,0.08915168321258242,8,20,78,1523,236,0.9000229319372431
3,9,45.774749755959455,0.09129410910939138,9,11,75,1523,236,0.9000229319372431
3,10,44.9535646164243,0.09883698232135746,10,8,61,1523,236,0.9000229319372431
4,2,57.381579822835356,0.24056602604276778,2,99,276,1523,236,0.9003717946413657
4,3,51.57628837385483,0.13067747827701903,3,99,143,1523,236,0.9003717946413657
4,4,49.191448072571504,0.14219159493668812,4,16,143,1523,236,0.9003717946413657
4,5,47.42855669195833,0.08763688637863627,5,16,133,1523,236,0.9003717946413657
4,6,46.4008458506496,0.09722803213128747,6,16,133,1523,236,0.9003717946413657
4,7,45.5119806051043,0.0961061053579415,7,16,83,1523,236,0.9003717946413657
4,8,44.58168070171252,0.10017053847166207,8,16,73,1523,236,0.9003717946413657
4,9,44.01508790570077,0.11060258366729642,9,8,114,1523,236,0.9003717946413657
4,10,43.26469868385768,0.10827993416201204,10,16,64,1523,236,0.9003717946413657
5,2,61.01480157943304,0.2410415996224148,2,109,266,1515,236,0.9003365820315926
5,3,55.325688228672504,0.13001364741183355,3,109,145,1515,236,0.9003365820315926
5,4,51.51197702075966,0.14766821165367436,4,23,145,1515,236,0.9003365820315926
5,5,49.92773401222089,0.08742958485804968,5,23,121,1515,236,0.9003365820315926
5,6,48.853328656098476,0.09725710430761673,6,23,121,1515,236,0.9003365820315926
5,7,47.963331129840675,0.09796281208615454,7,23,86,1515,236,0.9003365820315926
5,8,46.99057554928254,0.10178045331196754,8,23,61,1515,236,0.9003365820315926
5,9,46.12161572320575,0.10611051827773783,9,23,62,1515,236,0.9003365820315926
5,10,45.33028878081099,0.1108635450725125,10,23,61,1515,236,0.9003365820315926
6,2,58.83591238817848,0.22974373288542424,2,109,266,1526,236,0.9001854963148462
6,3,53.044775965575674,0.12781869499120604,3,109,134,1526,236,0.9001854963148462
6,4,50.375322705531254,0.14057131923828342,4,17,134,1526,236,0.9001854963148462
6,5,48.800507125957886,0.08660693995592691,5,17,134,1526,236,0.9001854963148462
6,6,47.85964139387982,0.09508186132544631,6,17,134,1526,236,0.9001854963148462
6,7,46.85944715235035,0.09723180466823374,7,17,134,1526,236,0.9001854963148462
6,8,45.47168830806467,0.10135464980812678,8,17,68,1526,236,0.9001854963148462
6,9,44.877326823215135,0.1079936167039356,9,17,85,1526,236,0.9001854963148462
6,10,43.93259240229315,0.10728402591163873,10,17,63,1526,236,0.9001854963148462
7,2,60.16688627015607,0.2273019761338102,2,119,256,1518,235,0.9003983113492606
7,3,54.51373034810715,0.135261637880762,3,111,145,1518,235,0.9003983113492606
7,4,51.72597295429683,0.1483528268716151,4,19,145,1518,235,0.9003983113492606
7,5,50.2407699589039,0.08189141387944675,5,19,111,1518,235,0.9003983113492606
7,6,49.14240204171914,0.08878929057165456,6,19,111,1518,235,0.9003983113492606
7,7,48.00978137489253,0.0919914242188359,7,19,111,1518,235,0.9003983113492606
7,8,47.29907794200462,0.09542299531525857,8,13,98,1518,235,0.9003983113492606
